date,open,high,low,close,volume,is_trading_day
2014-07-04,3.64,3.64,3.57,3.62,22630,1
2014-07-07,3.59,3.86,3.59,3.73,30400,1
2014-07-08,3.71,3.71,3.59,3.68,27560,1
2014-07-09,3.68,3.71,3.59,3.71,25290,1
2014-07-10,3.68,3.71,3.66,3.71,23740,1
2014-07-11,3.68,3.75,3.68,3.68,18640,1
2014-07-14,3.59,3.73,3.59,3.73,35030,1
2014-07-15,3.71,3.73,3.62,3.62,20030,1
2014-07-16,3.64,3.71,3.59,3.71,38480,1
2014-07-17,3.8,3.84,3.68,3.82,106060,1
2014-07-18,3.93,4.07,3.86,4.07,36230,1
2014-07-21,4.32,4.32,4.09,4.13,37240,1
2014-07-22,4.18,4.18,4.11,4.18,20100,1
2014-07-23,4.29,4.32,4.18,4.23,47890,1
2014-07-24,4.29,4.32,4.23,4.32,45280,1
2014-07-25,4.5,4.5,4.41,4.41,45810,1
2014-07-28,4.38,4.38,4.2,4.38,34440,1
2014-07-29,4.38,4.5,4.34,4.47,40700,1
2014-07-30,4.47,4.52,4.43,4.52,68760,1
2014-07-31,4.52,4.63,4.47,4.56,95000,1
2014-08-01,4.47,4.56,4.47,4.5,125280,1
2014-08-04,4.54,4.63,4.52,4.54,99250,1
2014-08-05,4.61,4.61,4.52,4.52,173790,1
2014-08-06,4.61,4.61,4.52,4.54,108430,1
2014-08-07,4.54,4.56,4.47,4.54,130890,1
2014-08-08,4.54,4.59,4.52,4.54,168690,1
2014-08-11,4.56,4.56,4.52,4.56,156520,1
2014-08-12,4.59,4.88,4.56,4.88,249170,1
2014-08-13,4.9,5.04,4.88,4.97,266870,1
2014-08-14,4.95,5.08,4.95,4.95,273590,1
2014-08-15,4.9,4.95,4.88,4.93,165840,1
2014-08-18,4.93,5.15,4.93,4.95,140810,1
2014-08-19,4.97,5.2,4.63,4.95,151410,1
2014-08-20,5.02,5.02,4.88,4.95,118370,1
2014-08-21,4.95,4.97,4.88,4.93,156600,1
2014-08-22,4.93,4.93,4.84,4.86,261040,1
2014-08-25,4.86,4.9,4.74,4.74,128030,1
2014-08-26,4.84,4.84,4.43,4.63,172400,1
2014-08-27,4.63,4.84,4.61,4.7,209990,1
2014-08-28,4.86,4.86,4.65,4.74,369540,1
2014-08-29,4.86,4.86,4.74,4.81,326510,1
2014-09-03,4.9,5.13,4.88,5.13,434080,1
2014-09-04,4.99,5.35,4.99,5.24,159760,1
2014-09-05,5.35,5.35,5.08,5.2,232500,1
2014-09-08,5.2,5.29,4.97,5.04,275670,1
2014-09-09,5.04,5.04,4.84,4.84,187910,1
2014-09-10,4.86,4.88,4.74,4.84,145450,1
2014-09-11,4.84,5.02,4.84,4.99,183640,1
2014-09-12,4.99,5.08,4.93,4.97,177390,1
2014-09-15,4.97,4.97,4.79,4.84,165100,1
2014-09-16,4.79,4.84,4.68,4.79,168960,1
2014-09-17,4.81,4.81,4.65,4.81,160870,1
2014-09-18,4.74,4.84,4.63,4.65,217400,1
2014-09-19,4.65,4.72,4.65,4.65,110070,1
2014-09-22,4.72,4.72,4.59,4.63,178040,1
2014-09-23,4.63,4.74,4.63,4.63,106280,1
2014-09-24,4.61,4.7,4.59,4.68,157290,1
2014-09-25,4.68,4.72,4.59,4.63,161930,1
2014-09-26,4.63,4.74,4.59,4.7,194140,1
2014-09-29,4.7,4.7,4.61,4.65,139540,1
2014-09-30,4.63,4.68,4.56,4.68,158830,1
2014-10-01,4.65,4.77,4.63,4.74,296970,1
2014-10-02,4.74,4.9,4.72,4.88,255370,1
2014-10-03,4.95,4.95,4.84,4.93,259960,1
2014-10-06,4.93,4.95,4.88,4.88,254240,1
2014-10-07,4.93,4.93,4.77,4.86,201930,1
2014-10-08,4.86,4.86,4.79,4.79,235030,1
2014-10-09,4.79,4.81,4.77,4.81,223120,1
2014-10-10,4.79,4.79,4.68,4.68,160750,1
2014-10-13,4.68,4.68,4.63,4.68,177470,1
2014-10-14,4.68,4.68,4.52,4.52,158850,1
2014-10-15,4.45,4.56,4.45,4.52,101920,1
2014-10-16,4.52,4.52,4.29,4.29,136360,1
2014-10-17,4.41,4.41,4.27,4.41,124740,1
2014-10-20,4.43,4.61,4.38,4.45,169290,1
2014-10-21,4.43,4.47,4.41,4.47,198400,1
2014-10-22,4.45,4.56,4.45,4.52,164590,1
2014-10-23,4.52,4.54,4.43,4.43,154010,1
2014-10-24,4.47,4.52,4.41,4.41,198820,1
2014-10-27,4.45,4.45,4.34,4.43,175140,1
2014-10-28,4.43,4.52,4.43,4.5,186450,1
2014-10-29,4.5,4.52,4.47,4.5,129140,1
2014-10-30,4.5,4.5,4.45,4.45,143130,1
2014-10-31,4.45,4.52,4.45,4.5,179100,1
2014-11-03,4.47,4.59,4.47,4.52,194240,1
2014-11-04,4.52,4.7,4.52,4.63,261560,1
2014-11-05,4.63,4.74,4.63,4.68,272220,1
2014-11-06,4.68,4.84,4.68,4.74,285530,1
2014-11-07,4.74,4.79,4.68,4.72,203380,1
2014-11-10,4.74,4.74,4.65,4.68,188160,1
2014-11-11,4.74,4.74,4.63,4.63,142810,1
2014-11-12,4.59,4.63,4.56,4.59,102630,1
2014-11-13,4.65,4.65,4.5,4.5,97870,1
2014-11-14,4.5,4.5,4.43,4.5,105270,1
2014-11-17,4.5,4.52,4.45,4.5,102740,1
2014-11-18,4.5,4.5,4.41,4.41,112090,1
2014-11-19,4.45,4.45,4.41,4.41,82570,1
2014-11-20,4.45,4.5,4.43,4.47,97670,1
2014-11-21,4.5,4.5,4.38,4.38,97240,1
2014-11-24,4.43,4.43,4.34,4.38,114130,1
2014-11-25,4.34,4.38,4.29,4.36,118400,1
2014-11-26,4.36,4.38,4.29,4.29,113870,1
2014-11-27,4.29,4.32,4.27,4.32,75710,1
2014-11-28,4.32,4.36,4.32,4.32,42270,1
2014-12-01,4.38,4.38,4.29,4.29,104550,1
2014-12-02,4.29,4.45,4.29,4.41,186970,1
2014-12-03,4.41,4.45,4.38,4.41,99310,1
2014-12-04,4.41,4.47,4.38,4.38,117160,1
2014-12-05,4.38,4.41,4.34,4.38,114130,1
2014-12-08,4.38,4.38,4.32,4.36,112710,1
2014-12-09,4.34,4.41,4.27,4.29,368490,1
2014-12-10,4.25,4.34,4.18,4.34,254810,1
2014-12-11,4.25,4.34,4.25,4.32,313320,1
2014-12-12,4.27,4.5,4.27,4.45,345220,1
2014-12-15,4.5,4.5,4.41,4.41,56500,1
2014-12-16,4.41,4.43,4.36,4.36,156400,1
2014-12-17,4.36,4.38,4.07,4.07,178500,1
2014-12-18,4.23,4.32,4.18,4.32,108680,1
2014-12-19,4.32,4.34,4.27,4.27,98570,1
2014-12-22,4.27,4.34,4.27,4.32,139810,1
2014-12-23,4.27,4.34,4.27,4.32,42180,1
