date,open,high,low,close,volume,is_trading_day
2016-12-28,25.49,25.49,25.49,25.49,7232660,1
2016-12-29,25.7,26.16,24.59,25.53,3217540,1
2016-12-30,25.49,25.53,24.81,25.53,2391160,1
2017-01-03,25.49,25.49,25.06,25.06,520260,1
2017-01-04,25.06,25.27,25.06,25.23,1056370,1
2017-01-05,25.19,25.23,25.06,25.1,637040,1
2017-01-06,25.06,25.15,24.98,25.15,787010,1
2017-01-09,25.1,25.19,24.93,25.19,1110630,1
2017-01-10,25.15,25.15,25.02,25.06,802560,1
2017-01-11,25.02,25.1,24.93,25.1,1077670,1
2017-01-12,25.06,25.1,24.93,24.98,904360,1
2017-01-13,24.98,25.06,24.85,25.06,967870,1
2017-01-16,25.02,25.15,24.93,25.15,1332640,1
2017-01-17,25.1,25.15,24.98,24.98,1127570,1
2017-01-18,24.93,25.06,24.93,25.02,1179580,1
2017-01-19,24.98,25.06,24.64,24.68,1368300,1
2017-01-20,24.68,24.85,24.59,24.72,975810,1
2017-01-23,24.72,24.81,24.55,24.55,1087390,1
2017-01-24,24.55,24.72,24.47,24.59,1201640,1
2017-01-25,24.64,25.74,24.64,25.74,1636490,1
2017-02-02,25.78,25.87,25.66,25.87,1363250,1
2017-02-03,25.83,25.87,25.61,25.87,1185700,1
2017-02-06,25.83,25.83,25.44,25.44,1119780,1
2017-02-07,25.36,25.4,25.15,25.27,1226190,1
2017-02-08,25.27,25.49,25.1,25.1,1262530,1
2017-02-09,25.1,25.36,24.98,24.98,1679120,1
2017-02-10,25.06,25.32,24.98,24.98,1606250,1
2017-02-13,25.02,25.27,25.02,25.15,1257830,1
2017-02-14,25.15,25.32,25.15,25.15,1291960,1
2017-02-15,25.15,25.49,25.15,25.27,1404110,1
2017-02-16,25.4,25.74,25.32,25.61,1493510,1
2017-02-17,25.61,26.08,25.61,25.83,1384350,1
2017-02-20,25.91,26.97,25.91,26.8,1026640,1
2017-02-21,26.97,28.46,26.8,28.03,876160,1
2017-02-22,28.08,28.88,28.03,28.12,866880,1
2017-02-23,28.08,28.29,27.57,27.99,1538930,1
2017-02-24,27.99,27.99,27.4,27.74,1235090,1
2017-02-27,27.65,28.42,27.65,28.25,1041880,1
2017-02-28,28.25,29.52,28.25,28.46,1508740,1
2017-03-01,28.46,29.22,28.46,29.22,1218430,1
2017-03-02,29.22,29.52,29.18,29.22,1299640,1
2017-03-03,29.22,29.31,28.8,29.27,1150650,1
2017-03-06,29.22,29.31,29.01,29.27,929730,1
2017-03-07,29.22,29.73,29.01,29.14,910580,1
2017-03-08,29.14,29.14,28.25,28.88,1049060,1
2017-03-09,28.88,28.93,28.67,28.88,1011710,1
2017-03-10,28.88,29.18,28.84,28.88,1068090,1
2017-03-13,30.88,30.88,29.73,30.88,3354340,1
2017-03-14,30.88,32.07,30.84,32.07,845370,1
2017-03-15,32.2,32.71,31.05,31.13,938030,1
2017-03-16,31.01,31.13,30.84,30.84,1000630,1
2017-03-17,30.45,30.58,28.71,28.71,2375730,1
2017-03-20,28.8,29.73,28.8,29.22,1155350,1
2017-03-21,29.22,29.35,29.1,29.18,690130,1
2017-03-22,29.14,29.14,28.71,28.71,637610,1
2017-03-23,28.71,28.8,28.2,28.37,563610,1
2017-03-24,28.37,29.44,28.37,29.31,1446360,1
2017-03-27,29.31,29.44,29.18,29.35,532530,1
2017-03-28,29.35,29.44,29.01,29.1,406850,1
2017-03-29,29.1,29.31,28.97,29.1,517550,1
2017-03-30,29.1,29.27,29.05,29.18,560350,1
2017-03-31,29.22,29.52,29.18,29.39,793980,1
2017-04-03,29.39,29.73,29.27,29.52,755190,1
2017-04-04,29.52,30.03,29.52,29.9,427440,1
