date,open,high,low,close,volume,is_trading_day
2014-07-04,2.07,2.22,2.07,2.22,290,1
2014-07-07,2.17,2.17,2.07,2.07,150,1
2014-07-08,2.07,2.13,1.94,2.13,4090,1
2014-07-09,2.01,2.11,1.99,2.11,21130,1
2014-07-10,1.99,2.11,1.99,2.11,2030,1
2014-07-11,2.15,2.17,1.98,1.98,70,1
2014-07-14,1.84,2.11,1.84,2.05,1100,1
2014-07-15,2.13,2.13,2.13,2.13,50,1
2014-07-16,2.13,2.18,2.13,2.18,1100,1
2014-07-17,2.03,2.17,2.03,2.17,110,1
2014-07-18,2.03,2.07,2.03,2.07,30,1
2014-07-21,2.17,2.17,2.07,2.07,5010,1
2014-07-22,2.05,2.05,1.96,1.96,9020,1
2014-07-23,1.96,2.01,1.9,1.99,24110,1
2014-07-24,1.96,2.01,1.96,1.99,17210,1
2014-07-25,1.98,1.99,1.98,1.99,14120,1
2014-07-28,1.98,1.99,1.9,1.99,28600,1
2014-07-29,1.94,1.99,1.92,1.99,35100,1
2014-07-30,1.94,2.01,1.9,1.99,34520,1
2014-07-31,1.94,1.98,1.88,1.98,41620,1
2014-08-01,1.94,1.99,1.94,1.99,41530,1
2014-08-04,1.98,2.03,1.96,2.03,17190,1
2014-08-05,2.03,2.05,1.99,2.01,26070,1
2014-08-06,2.01,2.07,1.99,2.07,46900,1
2014-08-07,2.07,2.13,2.03,2.07,38450,1
2014-08-08,2.13,2.17,2.05,2.17,93710,1
2014-08-11,2.09,2.17,2.03,2.05,38410,1
2014-08-12,2.05,2.17,2.03,2.07,47070,1
2014-08-13,2.13,2.18,2.05,2.17,65910,1
2014-08-14,2.22,2.22,2.15,2.22,76700,1
2014-08-15,2.24,2.24,2.15,2.22,57210,1
2014-08-18,2.22,2.32,2.2,2.32,121250,1
2014-08-19,2.32,2.32,2.24,2.32,97720,1
2014-08-20,2.32,2.41,2.28,2.36,199490,1
2014-08-21,2.34,2.36,2.32,2.36,33880,1
2014-08-22,2.37,2.47,2.37,2.37,140,1
2014-08-25,2.43,2.43,2.37,2.39,76030,1
2014-08-26,2.39,2.45,2.39,2.45,101610,1
2014-08-27,2.45,2.51,2.43,2.51,153270,1
2014-08-28,2.47,2.53,2.45,2.45,102310,1
2014-08-29,2.45,2.56,2.39,2.56,344440,1
2014-09-03,2.56,2.56,2.51,2.51,223550,1
2014-09-04,2.51,2.53,2.45,2.51,283650,1
2014-09-05,2.51,2.51,2.47,2.51,237960,1
2014-09-08,2.49,2.53,2.45,2.49,208500,1
2014-09-09,2.47,2.47,2.32,2.41,179410,1
2014-09-10,2.41,2.47,2.39,2.43,111210,1
2014-09-11,2.45,2.47,2.39,2.47,283320,1
2014-09-12,2.47,2.64,2.47,2.64,791960,1
2014-09-15,2.64,2.72,2.6,2.72,380650,1
2014-09-16,2.72,2.72,2.64,2.7,244150,1
2014-09-17,2.68,2.68,2.6,2.64,319570,1
2014-09-18,2.64,2.64,2.53,2.58,295600,1
2014-09-19,2.58,2.58,2.55,2.56,158730,1
2014-09-22,2.56,2.62,2.55,2.56,192100,1
2014-09-23,2.56,2.62,2.56,2.6,190520,1
2014-09-24,2.58,2.6,2.58,2.6,107100,1
2014-09-25,2.62,2.62,2.55,2.6,177050,1
2014-09-26,2.6,2.66,2.6,2.66,265880,1
2014-09-29,2.66,2.79,2.64,2.77,564700,1
2014-09-30,2.77,2.81,2.74,2.79,411730,1
2014-10-01,2.81,2.85,2.79,2.83,514010,1
2014-10-02,2.83,2.85,2.79,2.81,382770,1
2014-10-03,2.81,2.83,2.77,2.81,473850,1
2014-10-06,2.81,3.0,2.79,3.0,1659300,1
2014-10-07,3.0,3.08,2.98,3.06,731110,1
2014-10-08,3.06,3.1,2.96,3.02,508180,1
2014-10-09,3.02,3.06,2.96,3.02,768300,1
2014-10-10,3.0,3.02,2.91,2.93,580850,1
2014-10-13,2.93,2.98,2.87,2.93,408780,1
2014-10-14,2.93,2.96,2.89,2.89,565890,1
2014-10-15,2.89,2.96,2.85,2.91,421210,1
2014-10-16,2.89,2.93,2.83,2.85,427380,1
2014-10-17,2.85,2.89,2.83,2.87,263540,1
2014-10-20,2.87,2.89,2.79,2.79,229010,1
2014-10-21,2.81,2.91,2.79,2.91,399850,1
2014-10-22,2.91,2.93,2.87,2.91,274270,1
2014-10-23,2.91,2.94,2.87,2.91,392630,1
2014-10-24,2.91,2.96,2.91,2.96,713330,1
2014-10-27,2.96,3.02,2.94,2.94,501570,1
2014-10-28,2.94,2.98,2.93,2.98,349130,1
2014-10-29,2.98,3.1,2.98,3.1,630180,1
2014-10-30,3.1,3.15,3.08,3.11,721360,1
2014-10-31,3.11,3.13,3.08,3.13,626460,1
2014-11-03,3.13,3.17,3.11,3.15,446130,1
2014-11-04,3.15,3.27,3.13,3.27,737510,1
2014-11-05,3.27,3.3,3.19,3.29,930260,1
2014-11-06,3.29,3.3,3.25,3.29,453480,1
2014-11-07,3.29,3.32,3.27,3.3,428250,1
2014-11-10,3.3,3.32,3.27,3.3,365580,1
2014-11-11,3.3,3.32,3.27,3.27,374150,1
2014-11-12,3.27,3.38,3.27,3.36,633850,1
2014-11-13,3.42,3.42,3.36,3.38,411770,1
2014-11-14,3.38,3.4,3.34,3.36,410000,1
2014-11-17,3.36,3.4,3.34,3.36,283240,1
2014-11-18,3.36,3.36,3.3,3.36,328500,1
2014-11-19,3.36,3.36,3.27,3.27,416930,1
2014-11-20,3.29,3.3,3.27,3.3,265130,1
2014-11-21,3.3,3.36,3.29,3.3,408170,1
2014-11-24,3.3,3.3,3.27,3.27,331230,1
2014-11-25,3.27,3.29,3.25,3.29,285790,1
2014-11-26,3.29,3.3,3.23,3.25,416180,1
2014-11-27,3.25,3.27,3.21,3.25,219370,1
2014-11-28,3.23,3.29,3.23,3.29,511460,1
2014-12-01,3.29,3.32,3.25,3.3,419680,1
2014-12-02,3.3,3.34,3.29,3.34,365930,1
2014-12-03,3.34,3.46,3.34,3.44,813860,1
2014-12-04,3.46,3.46,3.4,3.4,545170,1
2014-12-05,3.42,3.42,3.36,3.38,338570,1
2014-12-08,3.38,3.38,3.32,3.36,251860,1
2014-12-09,3.36,3.36,3.25,3.25,363430,1
2014-12-10,3.25,3.32,3.21,3.32,441250,1
2014-12-11,3.32,3.38,3.3,3.34,374290,1
2014-12-12,3.34,3.36,3.3,3.32,230970,1
2014-12-15,3.32,3.36,3.29,3.32,207710,1
2014-12-16,3.3,3.3,3.17,3.17,307350,1
2014-12-17,3.17,3.19,2.96,2.98,320770,1
2014-12-18,3.02,3.04,2.98,3.02,238800,1
2014-12-19,3.02,3.02,2.93,3.0,224120,1
2014-12-22,3.02,3.04,2.96,3.02,249020,1
2014-12-23,3.02,3.04,3.0,3.04,230200,1
2014-12-24,3.02,3.06,3.0,3.0,207910,1
2014-12-25,3.0,3.04,2.96,2.98,176930,1
2014-12-26,2.98,3.0,2.93,2.96,228530,1
2014-12-29,2.96,2.98,2.93,2.94,184210,1
2014-12-30,2.96,2.98,2.93,2.98,240770,1
2014-12-31,3.02,3.08,3.0,3.06,497390,1
2015-01-05,3.06,3.13,3.04,3.11,363070,1
2015-01-06,3.1,3.19,3.04,3.19,283950,1
2015-01-07,3.17,3.23,3.11,3.21,629590,1
2015-01-08,3.21,3.23,3.19,3.19,183530,1
2015-01-09,3.21,3.23,3.19,3.19,214810,1
2015-01-12,3.19,3.23,3.17,3.21,220120,1
2015-01-13,3.19,3.23,3.15,3.19,340600,1
2015-01-14,3.19,3.25,3.19,3.23,198110,1
2015-01-15,3.21,3.27,3.19,3.25,277200,1
2015-01-16,3.25,3.27,3.19,3.25,192440,1
2015-01-19,3.25,3.27,3.19,3.25,284260,1
2015-01-20,3.25,3.27,3.19,3.27,399670,1
2015-01-21,3.27,3.29,3.19,3.25,370310,1
2015-01-22,3.23,3.3,3.19,3.29,357940,1
2015-01-23,3.29,3.3,3.21,3.29,292170,1
2015-01-26,3.27,3.29,3.21,3.25,184980,1
2015-01-27,3.25,3.29,3.21,3.25,152170,1
2015-01-28,3.25,3.27,3.21,3.25,176860,1
