date,open,high,low,close,volume,is_trading_day
2014-07-04,17.08,17.08,16.92,17.0,333980,1
2014-07-07,17.08,17.17,17.0,17.08,568250,1
2014-07-08,16.92,17.08,16.92,17.0,240380,1
2014-07-09,17.0,17.0,16.92,16.92,169390,1
2014-07-10,16.92,16.92,16.75,16.83,399550,1
2014-07-11,16.83,16.83,16.67,16.75,296980,1
2014-07-14,16.75,16.92,16.75,16.92,219510,1
2014-07-15,16.92,17.0,16.83,16.92,295840,1
2014-07-16,16.83,17.0,16.83,16.92,650640,1
2014-07-17,16.92,16.92,16.83,16.83,243750,1
2014-07-18,16.83,17.08,16.83,17.0,817230,1
2014-07-21,17.0,17.08,16.92,16.92,232130,1
2014-07-22,17.0,17.0,16.83,16.83,78830,1
2014-07-23,16.83,16.83,16.75,16.75,168300,1
2014-07-24,16.75,16.92,16.75,16.92,442210,1
2014-07-25,16.92,16.92,16.75,16.75,297870,1
2014-07-28,16.75,16.75,16.42,16.67,215720,1
2014-07-29,16.42,16.67,16.33,16.58,365280,1
2014-07-30,16.42,16.5,16.33,16.33,138730,1
2014-07-31,16.25,16.42,16.25,16.42,173240,1
2014-08-01,16.42,16.42,16.17,16.33,161370,1
2014-08-04,16.08,16.25,16.0,16.25,80550,1
2014-08-05,16.17,16.25,16.08,16.25,567220,1
2014-08-06,16.25,16.33,16.17,16.25,207280,1
2014-08-07,16.08,16.25,16.0,16.25,312540,1
2014-08-08,16.25,16.25,15.92,16.08,228740,1
2014-08-11,15.92,16.0,15.83,15.92,451490,1
2014-08-12,15.83,16.0,15.75,15.75,274830,1
2014-08-13,15.75,15.92,15.75,15.92,113660,1
2014-08-14,15.92,16.17,15.83,16.17,517290,1
2014-08-15,16.17,16.17,15.92,16.0,41970,1
2014-08-18,15.92,16.0,15.83,16.0,122690,1
2014-08-19,16.0,16.17,15.92,16.0,158050,1
2014-08-20,15.83,16.0,15.83,15.92,58890,1
2014-08-21,15.92,16.0,15.83,15.92,175400,1
2014-08-22,15.92,16.0,15.83,15.83,283400,1
2014-08-25,16.08,16.08,15.83,16.0,294210,1
2014-08-26,15.92,15.92,15.58,15.75,603760,1
2014-08-27,15.75,15.83,15.67,15.67,243640,1
2014-08-28,15.67,15.83,15.67,15.83,147500,1
2014-08-29,15.92,16.17,15.92,16.17,668950,1
2014-09-03,16.25,16.42,16.17,16.25,406360,1
2014-09-04,16.08,16.33,16.08,16.25,285280,1
2014-09-05,16.25,16.42,16.17,16.33,535950,1
2014-09-08,16.33,16.42,16.25,16.42,491890,1
2014-09-09,16.42,16.5,16.25,16.33,574430,1
2014-09-10,16.25,16.92,16.17,16.67,588890,1
2014-09-11,16.58,16.67,16.42,16.5,270330,1
