date,open,high,low,close,volume,is_trading_day
2018-04-19,7.72,7.72,7.01,7.16,7295110,1
2018-04-20,7.23,7.23,7.04,7.17,1970610,1
2018-04-23,7.17,7.19,6.68,6.79,918490,1
2018-04-24,6.68,6.84,6.33,6.79,1084620,1
2018-04-26,6.77,6.82,6.51,6.55,618040,1
2018-04-27,6.61,6.66,6.47,6.66,783680,1
2018-05-02,6.82,6.82,6.55,6.57,468940,1
2018-05-03,6.57,6.57,6.4,6.57,407660,1
2018-05-04,6.72,6.72,6.51,6.57,267600,1
2018-05-07,6.59,6.62,6.44,6.62,269800,1
2018-05-08,6.84,6.84,6.57,6.64,556210,1
2018-05-09,6.64,6.64,6.53,6.62,368930,1
2018-05-10,6.62,6.62,6.4,6.51,184990,1
2018-05-11,6.51,6.57,6.31,6.57,725410,1
2018-05-14,6.57,6.57,6.35,6.51,252920,1
2018-05-15,6.51,6.58,6.35,6.57,468650,1
2018-05-16,6.57,6.58,6.44,6.51,525340,1
2018-05-17,6.53,6.57,6.46,6.51,385710,1
2018-05-18,6.48,6.57,6.43,6.55,465950,1
2018-05-21,6.56,6.56,6.5,6.52,339500,1
2018-05-22,6.52,6.56,6.31,6.46,414600,1
2018-05-23,6.46,6.5,6.37,6.48,506080,1
2018-05-24,6.47,6.5,6.42,6.46,366890,1
2018-05-25,6.46,6.48,6.39,6.4,307990,1
2018-05-28,6.35,6.37,5.98,5.98,197040,1
2018-05-29,6.07,6.36,6.07,6.35,590410,1
2018-05-30,6.34,6.39,6.26,6.33,171480,1
2018-05-31,6.31,6.32,6.18,6.18,287350,1
2018-06-01,6.31,6.31,6.18,6.18,100550,1
2018-06-04,6.2,6.57,6.16,6.51,387700,1
2018-06-05,6.53,6.53,6.37,6.48,459200,1
2018-06-06,6.44,6.46,6.35,6.37,847910,1
2018-06-07,6.4,6.4,6.33,6.37,675570,1
2018-06-08,6.37,6.4,6.29,6.32,1162520,1
2018-06-11,6.37,6.37,6.22,6.29,38710,1
2018-06-12,6.29,6.29,6.13,6.22,42180,1
2018-06-13,6.22,6.24,6.18,6.22,111190,1
2018-06-14,6.22,6.22,6.12,6.18,22990,1
2018-06-15,6.21,6.21,6.12,6.13,26260,1
2018-06-18,6.13,6.13,5.96,5.96,44490,1
2018-06-19,5.87,6.04,5.55,5.98,648860,1
2018-06-20,5.98,6.07,5.98,6.04,648730,1
2018-06-21,6.09,6.15,5.96,6.04,43660,1
