date,open,high,low,close,volume,is_trading_day
2014-07-04,9.19,9.33,9.12,9.33,271870,1
2014-07-07,9.97,9.97,9.97,9.97,662250,1
2014-07-08,10.53,10.53,9.97,10.04,1315750,1
2014-07-09,10.04,10.11,9.97,9.97,307680,1
2014-07-10,9.97,9.97,9.69,9.76,289160,1
2014-07-11,9.69,9.83,9.69,9.76,446060,1
2014-07-14,9.83,9.9,9.69,9.76,274390,1
2014-07-15,9.76,9.9,9.76,9.83,323760,1
2014-07-16,9.9,9.9,9.76,9.83,405580,1
2014-07-17,9.83,9.83,9.69,9.69,256930,1
2014-07-18,9.69,9.97,9.69,9.83,781080,1
2014-07-21,9.97,10.11,9.83,9.9,756480,1
2014-07-22,9.9,9.97,9.83,9.83,218190,1
2014-07-23,9.9,9.9,9.83,9.83,149720,1
2014-07-24,9.83,9.97,9.76,9.9,730540,1
2014-07-25,9.97,10.39,9.9,10.25,1328790,1
2014-07-28,10.25,10.25,10.11,10.11,509880,1
2014-07-29,10.25,10.25,10.04,10.25,397580,1
2014-07-30,10.25,10.32,10.18,10.25,331720,1
2014-07-31,10.25,10.46,10.18,10.39,803780,1
2014-08-01,10.39,10.67,10.32,10.6,638690,1
2014-08-04,10.6,11.02,10.6,10.95,979240,1
2014-08-05,10.95,10.95,10.74,10.81,1891980,1
2014-08-06,10.9,11.33,10.76,11.19,1804610,1
2014-08-07,11.05,11.19,11.05,11.12,629310,1
2014-08-08,10.97,11.12,10.9,10.97,871560,1
2014-08-11,10.9,10.97,10.83,10.97,624140,1
2014-08-12,10.97,11.33,10.97,11.33,1732400,1
2014-08-13,11.19,11.33,11.12,11.26,1657240,1
2014-08-14,11.33,11.41,11.12,11.33,1829170,1
2014-08-15,11.41,11.48,11.19,11.19,2248120,1
2014-08-18,11.26,11.41,11.19,11.26,615090,1
2014-08-19,11.33,11.41,11.19,11.26,704120,1
2014-08-20,11.26,11.33,11.12,11.12,770600,1
2014-08-21,11.19,11.26,10.97,11.19,1112210,1
2014-08-22,11.19,11.55,11.19,11.41,1635580,1
2014-08-25,11.55,11.7,11.48,11.62,1655160,1
2014-08-26,12.35,12.35,12.24,12.35,717890,1
2014-08-27,12.67,12.88,12.35,12.35,3137220,1
2014-08-28,12.35,12.35,11.92,12.02,3366640,1
2014-08-29,12.24,12.78,11.92,12.56,3117820,1
2014-09-03,12.56,12.67,12.35,12.45,3399560,1
2014-09-04,12.35,12.45,12.24,12.35,2269860,1
2014-09-05,12.24,12.35,11.92,11.92,5229900,1
2014-09-08,12.02,12.35,12.02,12.13,1466720,1
2014-09-09,12.13,12.13,11.7,11.92,1881730,1
2014-09-10,11.81,12.02,11.59,11.81,3656420,1
2014-09-11,11.81,12.02,11.7,11.7,2160590,1
2014-09-12,11.81,12.02,11.81,11.92,1671630,1
2014-09-15,11.92,12.02,11.7,11.7,1576130,1
2014-09-16,11.7,11.7,11.38,11.7,2744360,1
2014-09-17,11.81,11.81,11.49,11.7,1987090,1
2014-09-18,11.7,11.7,11.49,11.7,1683380,1
2014-09-19,11.59,11.92,11.49,11.7,3504070,1
2014-09-22,11.81,11.92,11.7,11.7,750170,1
2014-09-23,11.7,12.02,11.7,12.02,1498020,1
2014-09-24,12.02,12.02,11.81,11.92,1182150,1
2014-09-25,11.59,11.59,11.16,11.16,7753290,1
2014-09-26,11.06,11.38,11.06,11.06,2115680,1
2014-09-29,10.95,10.95,10.35,10.41,2850510,1
2014-09-30,10.22,10.43,9.83,10.31,4871710,1
2014-10-01,10.31,10.63,10.31,10.63,1688520,1
2014-10-02,10.63,10.63,10.43,10.52,2455680,1
2014-10-03,10.43,11.06,10.37,10.74,4304000,1
2014-10-06,10.95,11.16,10.84,10.95,1352160,1
2014-10-07,11.06,11.06,10.84,10.84,1531200,1
2014-10-08,10.74,10.95,10.71,10.71,1628530,1
2014-10-09,10.74,10.84,10.48,10.5,3946480,1
2014-10-10,10.46,10.67,10.39,10.43,1715080,1
2014-10-13,10.43,10.61,10.43,10.48,1207120,1
2014-10-14,10.48,10.52,10.33,10.33,2095390,1
2014-10-15,10.31,10.33,10.16,10.24,1838510,1
2014-10-16,10.18,10.24,9.88,9.98,2950030,1
2014-10-17,9.92,10.07,9.81,9.94,2491500,1
2014-10-20,9.98,10.31,9.96,10.09,1219710,1
2014-10-21,10.16,10.5,10.13,10.5,2846410,1
2014-10-22,10.52,10.61,10.31,10.31,2071480,1
2014-10-23,10.24,10.35,10.16,10.16,1575350,1
2014-10-24,10.16,10.28,10.11,10.24,740530,1
2014-10-27,10.16,10.26,10.03,10.07,1231950,1
2014-10-28,10.05,10.13,10.03,10.05,912980,1
2014-10-29,10.13,10.24,10.07,10.24,1124220,1
2014-10-30,10.26,10.31,10.2,10.22,772160,1
2014-10-31,10.22,10.31,10.11,10.31,970860,1
2014-11-03,10.41,10.61,10.39,10.56,2671730,1
2014-11-04,10.48,10.56,10.39,10.41,1086740,1
2014-11-05,10.41,10.46,10.28,10.41,751310,1
2014-11-06,10.43,10.43,10.31,10.33,747280,1
2014-11-07,10.33,10.37,10.28,10.37,567090,1
2014-11-10,10.37,10.56,10.37,10.46,1522760,1
2014-11-11,10.46,10.48,10.39,10.43,761240,1
2014-11-12,10.43,10.52,10.43,10.48,1106560,1
2014-11-13,10.48,10.54,10.43,10.48,934660,1
2014-11-14,10.48,10.63,10.41,10.61,2765430,1
2014-11-17,10.63,10.71,10.61,10.65,1164180,1
2014-11-18,10.59,10.61,10.41,10.41,1353050,1
2014-11-19,10.37,10.43,10.35,10.39,884820,1
2014-11-20,10.41,10.48,10.35,10.35,835340,1
2014-11-21,10.35,10.39,10.28,10.31,948120,1
2014-11-24,10.31,10.43,10.2,10.31,781250,1
2014-11-25,10.37,10.59,10.35,10.59,1661680,1
2014-11-26,10.63,10.63,10.39,10.39,1543650,1
2014-11-27,10.41,10.41,10.31,10.35,360070,1
2014-11-28,10.41,10.54,10.37,10.37,1001310,1
2014-12-01,10.37,10.52,10.37,10.43,403800,1
2014-12-02,10.5,10.5,10.41,10.41,868170,1
2014-12-03,10.41,10.43,10.35,10.37,1457650,1
2014-12-04,10.39,10.46,10.37,10.39,516730,1
2014-12-05,10.39,10.5,10.39,10.46,890450,1
2014-12-08,10.48,10.54,10.39,10.5,985520,1
2014-12-09,10.46,10.48,10.18,10.26,1396920,1
2014-12-10,10.2,10.5,10.2,10.46,765320,1
2014-12-11,10.31,10.52,10.31,10.35,1202410,1
2014-12-12,10.33,10.41,10.33,10.35,672740,1
2014-12-15,10.35,10.37,10.31,10.33,412390,1
2014-12-16,10.31,10.31,10.07,10.09,1232870,1
2014-12-17,10.09,10.13,9.45,9.66,2256690,1
2014-12-18,9.81,10.13,9.68,10.11,1089700,1
2014-12-19,10.05,10.22,10.01,10.09,3336130,1
2014-12-22,10.18,10.18,10.09,10.09,835050,1
2014-12-23,10.09,10.13,9.96,9.98,196630,1
2014-12-24,10.07,10.07,9.98,10.03,110740,1
2014-12-25,10.05,10.05,9.86,9.86,165880,1
2014-12-26,9.86,10.07,9.75,10.01,824220,1
2014-12-29,9.9,10.11,9.9,10.07,446970,1
2014-12-30,10.13,10.2,10.09,10.2,1029140,1
2014-12-31,10.22,10.31,10.18,10.24,334990,1
2015-01-05,10.24,10.24,10.16,10.22,320790,1
2015-01-06,10.18,10.26,10.16,10.26,462360,1
2015-01-07,10.26,10.31,10.2,10.24,319600,1
2015-01-08,10.24,10.39,10.24,10.31,788420,1
2015-01-09,10.31,10.43,10.26,10.26,969330,1
2015-01-12,10.26,10.35,10.16,10.16,472380,1
2015-01-13,10.13,10.22,10.07,10.11,784490,1
2015-01-14,10.18,10.18,10.09,10.11,585600,1
2015-01-15,10.11,10.2,10.05,10.18,826580,1
2015-01-16,10.18,10.18,10.09,10.16,275570,1
2015-01-19,10.16,10.28,10.13,10.16,407620,1
2015-01-20,10.18,10.22,10.11,10.11,316350,1
2015-01-21,10.11,10.18,10.11,10.11,227060,1
2015-01-22,10.18,10.18,10.11,10.11,204950,1
2015-01-23,10.18,10.31,10.16,10.31,770380,1
2015-01-26,10.41,10.5,10.31,10.35,241650,1
2015-01-27,10.35,10.37,10.18,10.31,517330,1
2015-01-28,10.22,10.31,10.2,10.22,323250,1
2015-01-29,10.22,10.26,10.18,10.22,185770,1
2015-01-30,10.24,10.39,10.22,10.31,938950,1
2015-02-02,10.31,10.33,10.24,10.24,408830,1
2015-02-03,10.24,10.26,10.07,10.07,304890,1
2015-02-04,10.16,10.16,9.98,10.07,754650,1
2015-02-05,10.03,10.09,10.03,10.05,264080,1
2015-02-06,10.09,10.13,10.05,10.07,160630,1
2015-02-09,10.07,10.2,10.07,10.16,437370,1
2015-02-10,10.2,10.24,10.13,10.13,362290,1
2015-02-11,10.18,10.41,10.13,10.41,894030,1
2015-02-12,10.5,10.74,10.48,10.74,2221520,1
2015-02-13,10.74,11.06,10.74,10.84,1455720,1
2015-02-24,10.95,11.06,10.74,11.06,906580,1
2015-02-25,10.95,11.06,10.74,10.74,756990,1
2015-02-26,10.74,10.84,10.56,10.71,1158830,1
2015-02-27,10.74,10.74,10.63,10.63,538120,1
2015-03-02,10.65,10.74,10.63,10.71,788530,1
2015-03-03,10.71,11.27,10.71,11.16,2373010,1
2015-03-04,11.16,11.16,10.95,11.06,816360,1
2015-03-05,10.95,11.06,10.84,10.95,845730,1
2015-03-06,10.74,10.95,10.71,10.71,1493200,1
2015-03-09,10.71,10.84,10.65,10.67,661550,1
2015-03-10,10.63,10.71,10.61,10.67,895980,1
2015-03-11,10.67,10.67,10.56,10.59,844110,1
2015-03-12,10.59,10.71,10.59,10.65,814790,1
2015-03-13,10.65,10.71,10.63,10.65,529480,1
2015-03-16,10.63,10.65,10.5,10.56,1155790,1
2015-03-17,10.59,10.61,10.54,10.59,332570,1
2015-03-18,10.59,10.61,10.56,10.59,709890,1
2015-03-19,10.61,10.63,10.48,10.54,787290,1
2015-03-20,10.54,10.56,10.43,10.43,1952070,1
2015-03-23,10.43,10.54,10.35,10.37,709040,1
2015-03-24,10.37,10.39,10.33,10.37,1057820,1
2015-03-25,10.37,10.39,10.33,10.35,637570,1
2015-03-26,10.31,10.35,10.2,10.2,581580,1
2015-03-27,10.37,10.37,10.09,10.11,1097010,1
2015-03-30,10.13,10.16,10.01,10.01,934790,1
2015-03-31,10.01,10.11,10.01,10.09,710820,1
2015-04-01,10.09,10.09,9.88,9.88,482240,1
2015-04-02,9.96,9.96,9.86,9.94,444740,1
2015-04-03,9.94,9.94,9.9,9.9,311650,1
2015-04-06,9.9,9.92,9.86,9.86,455810,1
2015-04-07,9.86,9.92,9.81,9.92,672070,1
2015-04-08,9.92,9.94,9.88,9.88,611130,1
2015-04-09,9.88,10.01,9.88,9.9,639520,1
2015-04-10,9.94,10.28,9.94,10.2,1224360,1
2015-04-13,10.22,10.46,10.22,10.43,1697520,1
2015-04-14,10.46,10.46,10.22,10.22,426570,1
2015-04-15,10.26,10.28,10.11,10.2,443980,1
2015-04-16,10.2,10.39,10.2,10.33,601670,1
2015-04-17,10.35,10.61,10.33,10.48,1078340,1
2015-04-20,10.43,10.52,10.41,10.43,936960,1
2015-04-21,10.43,10.5,10.39,10.41,591750,1
2015-04-22,10.48,10.48,10.41,10.43,625130,1
2015-04-23,10.48,10.52,10.41,10.48,584810,1
2015-04-24,10.48,10.52,10.46,10.48,287890,1
2015-04-27,10.52,10.52,10.43,10.43,242300,1
2015-05-04,9.7,10.46,9.7,10.33,1448720,1
2015-05-05,10.33,10.48,10.31,10.48,762350,1
2015-05-06,10.48,10.48,10.31,10.33,186040,1
2015-05-07,10.33,10.43,10.31,10.43,262900,1
2015-05-08,10.43,10.43,10.37,10.37,70990,1
2015-05-11,10.41,10.41,10.31,10.31,309660,1
2015-05-12,10.35,10.35,10.09,10.2,618510,1
2015-05-13,10.2,10.22,10.05,10.2,555300,1
2015-05-14,10.2,10.22,10.16,10.18,83130,1
2015-05-15,10.18,10.24,10.09,10.09,458130,1
2015-05-18,10.09,10.11,9.94,9.94,1655740,1
2015-05-19,10.01,10.03,9.94,10.01,552310,1
2015-05-20,10.01,10.22,10.01,10.11,617150,1
2015-05-21,10.09,10.2,10.07,10.13,387320,1
2015-05-22,10.11,10.41,10.07,10.41,1058290,1
2015-05-25,10.37,10.37,10.24,10.35,334190,1
2015-05-26,10.33,10.48,10.33,10.37,623860,1
2015-05-27,10.41,10.46,10.33,10.33,712170,1
2015-05-28,10.31,10.35,10.26,10.26,623820,1
2015-05-29,10.26,10.33,10.2,10.2,618530,1
2015-06-01,10.33,10.56,10.31,10.46,1238300,1
2015-06-02,10.48,10.5,10.33,10.33,418090,1
2015-06-03,10.31,10.43,10.31,10.37,766250,1
2015-06-04,10.41,10.52,10.41,10.48,1277590,1
2015-06-05,10.48,10.56,10.43,10.48,626020,1
2015-06-08,10.48,10.63,10.48,10.52,593240,1
2015-06-09,10.56,10.59,10.5,10.52,446220,1
2015-06-10,10.52,10.54,10.41,10.43,476610,1
2015-06-11,10.43,10.56,10.43,10.56,528030,1
2015-06-12,10.61,11.16,10.59,11.16,2997570,1
2015-06-15,11.16,11.16,10.74,10.84,850000,1
2015-06-16,10.84,10.95,10.71,10.84,739750,1
2015-06-17,10.84,11.06,10.69,10.84,653080,1
2015-06-18,10.84,10.95,10.84,10.84,683660,1
2015-06-19,10.95,11.06,10.84,10.95,944200,1
2015-06-22,11.06,11.16,10.95,11.06,532730,1
2015-06-23,11.06,11.27,10.95,11.16,1356440,1
2015-06-24,11.06,11.27,11.06,11.27,780150,1
2015-06-25,11.16,11.38,11.06,11.27,1089400,1
2015-06-26,11.16,11.27,11.16,11.16,1026800,1
2015-06-29,11.37,11.7,11.37,11.53,1764630,1
2015-06-30,11.48,11.94,11.48,11.75,3429780,1
2015-07-01,11.88,11.88,11.61,11.72,797910,1
2015-07-02,11.8,11.86,11.75,11.86,1117760,1
2015-07-03,11.99,12.13,11.97,12.05,1937740,1
2015-07-06,12.15,12.18,11.88,12.05,1602770,1
2015-07-07,11.99,12.07,11.91,11.94,2060130,1
2015-07-08,11.91,11.91,11.67,11.75,1648750,1
2015-07-09,11.61,12.05,11.56,11.88,1664850,1
2015-07-10,11.97,12.05,11.88,11.97,1334490,1
2015-07-13,11.97,11.97,11.88,11.91,1259500,1
2015-07-14,11.8,11.91,11.8,11.88,642340,1
2015-07-15,11.94,11.94,11.7,11.75,1452980,1
2015-07-16,11.61,11.7,11.53,11.56,940730,1
2015-07-17,11.61,11.64,11.48,11.53,770060,1
2015-07-20,11.53,11.7,11.45,11.51,763460,1
2015-07-21,11.48,11.7,11.48,11.61,575410,1
2015-07-22,11.7,12.05,11.64,12.02,1978850,1
2015-07-23,12.02,12.15,11.91,11.91,1096080,1
2015-07-24,11.99,11.99,11.78,11.83,752000,1
2015-07-27,11.88,11.97,11.8,11.88,1634930,1
2015-07-28,11.94,12.13,11.83,11.83,2556060,1
2015-07-29,11.88,11.91,11.64,11.67,1177900,1
2015-07-30,11.67,11.72,11.59,11.64,729400,1
2015-07-31,11.59,11.72,11.53,11.64,1367150,1
2015-08-03,11.53,11.72,11.51,11.64,1810730,1
2015-08-04,11.56,11.64,11.53,11.61,710800,1
2015-08-05,11.64,11.67,11.56,11.67,494710,1
2015-08-06,11.61,11.67,11.53,11.61,490170,1
2015-08-07,11.64,11.64,11.59,11.61,318890,1
2015-08-10,11.61,11.75,11.61,11.75,802880,1
2015-08-11,11.75,11.8,11.72,11.8,1130250,1
2015-08-12,11.8,11.8,11.64,11.64,810320,1
2015-08-13,11.64,11.64,11.45,11.48,860480,1
2015-08-14,11.48,11.59,11.24,11.29,819060,1
2015-08-17,11.29,11.43,11.07,11.07,758640,1
2015-08-18,11.07,11.26,11.07,11.26,563880,1
2015-08-19,11.26,11.26,10.97,11.02,787690,1
2015-08-20,11.02,11.13,10.83,10.97,1142450,1
2015-08-21,10.89,10.97,10.48,10.83,3110370,1
2015-08-24,10.83,10.83,10.24,10.83,2732410,1
2015-08-25,10.48,10.83,10.48,10.83,2271270,1
2015-08-26,10.72,10.91,10.7,10.86,1642870,1
