date,open,high,low,close,volume,is_trading_day
2017-08-17,7.87,7.87,6.66,7.87,58299310,1
2017-08-18,7.66,7.77,7.5,7.5,1092840,1
2017-08-21,7.22,7.42,7.16,7.23,798670,1
2017-08-22,7.02,7.26,7.02,7.26,2295930,1
2017-08-23,7.26,7.42,7.21,7.3,520790,1
2017-08-24,7.33,7.33,7.22,7.31,678690,1
2017-08-25,7.24,7.32,7.22,7.32,615370,1
2017-08-28,7.26,7.32,7.24,7.32,761670,1
2017-08-29,7.28,7.32,7.25,7.32,990000,1
2017-08-30,7.32,7.32,7.26,7.32,830100,1
2017-08-31,7.28,7.32,7.28,7.32,1196380,1
2017-09-01,7.28,7.32,7.28,7.32,978060,1
2017-09-05,7.27,7.34,7.27,7.34,1274130,1
2017-09-06,7.34,7.7,7.32,7.69,1269010,1
2017-09-07,7.7,7.93,7.7,7.78,900290,1
2017-09-08,7.77,7.77,7.69,7.7,339640,1
2017-09-11,7.66,7.68,7.44,7.46,655570,1
2017-09-12,7.46,7.56,7.34,7.53,330150,1
2017-09-13,7.53,7.58,7.48,7.56,312470,1
2017-09-14,7.56,7.58,7.52,7.55,268880,1
2017-09-15,7.55,7.58,7.53,7.54,352480,1
2017-09-18,7.54,7.56,7.51,7.52,323580,1
2017-09-19,7.52,7.52,7.44,7.45,820020,1
2017-09-20,7.45,7.52,7.43,7.44,789670,1
2017-09-21,7.44,7.45,7.41,7.44,535570,1
2017-09-22,7.44,7.44,7.36,7.4,1288830,1
2017-09-25,7.4,7.43,7.39,7.39,504360,1
2017-09-26,7.44,7.44,7.38,7.38,718370,1
2017-09-27,7.38,7.55,7.38,7.51,1473820,1
2017-09-28,7.52,7.62,7.5,7.51,1238590,1
2017-09-29,7.51,7.61,7.51,7.56,752340,1
2017-10-02,7.56,7.58,7.46,7.51,634350,1
2017-10-03,7.5,7.52,7.41,7.44,659660,1
2017-10-04,7.44,7.46,7.41,7.44,457470,1
2017-10-05,7.48,7.49,7.43,7.43,219990,1
2017-10-06,7.47,7.5,7.42,7.5,409110,1
2017-10-09,7.58,7.58,7.51,7.55,936770,1
2017-10-10,7.55,7.7,7.53,7.66,869010,1
2017-10-11,7.7,7.97,7.69,7.97,3495690,1
2017-10-12,7.98,8.23,7.93,8.08,2362040,1
2017-10-13,8.05,8.28,8.05,8.11,1322500,1
2017-10-16,8.11,8.31,8.11,8.21,2217910,1
2017-10-17,8.21,8.37,8.21,8.31,1689100,1
2017-10-18,8.47,8.49,8.33,8.33,2362080,1
2017-10-19,8.31,8.41,8.23,8.29,1057180,1
2017-10-20,8.29,8.39,8.29,8.33,1480860,1
2017-10-23,8.33,8.45,8.21,8.23,1498490,1
2017-10-24,8.26,8.26,8.16,8.21,826280,1
2017-10-25,8.21,8.3,8.13,8.27,1275530,1
2017-10-26,8.27,8.33,8.17,8.21,757830,1
2017-10-27,8.19,8.27,8.18,8.24,738890,1
2017-10-30,8.24,8.43,8.24,8.29,1960480,1
2017-10-31,8.29,8.33,8.19,8.2,1027260,1
2017-11-01,8.19,8.25,8.1,8.13,994020,1
2017-11-02,8.11,8.19,7.58,7.6,2450520,1
2017-11-03,7.62,8.11,7.62,8.11,1257280,1
2017-11-06,8.11,8.11,7.97,8.05,490420,1
2017-11-07,8.03,8.03,7.95,7.97,579800,1
2017-11-08,7.97,8.13,7.9,8.11,826220,1
2017-11-09,8.13,8.13,7.97,8.01,537590,1
2017-11-10,8.0,8.01,7.97,7.98,503430,1
2017-11-13,7.99,7.99,7.79,7.81,734400,1
2017-11-14,7.81,7.95,7.81,7.88,777620,1
2017-11-15,7.92,7.96,7.83,7.93,775820,1
2017-11-16,7.93,8.15,7.88,7.97,916660,1
2017-11-17,8.03,8.07,7.96,7.97,561660,1
2017-11-20,7.99,7.99,7.88,7.89,629260,1
2017-11-21,7.87,7.94,7.82,7.86,1003180,1
2017-11-22,7.87,8.11,7.85,7.99,1542070,1
2017-11-23,8.07,8.25,7.89,8.07,1865520,1
2017-11-24,8.12,8.19,8.01,8.07,939760,1
2017-11-27,8.07,8.07,8.02,8.03,865430,1
2017-11-28,8.03,8.14,8.01,8.03,1532570,1
2017-11-29,8.03,8.16,8.03,8.09,1922690,1
2017-11-30,8.15,8.32,8.13,8.3,4526350,1
2017-12-01,8.39,8.39,8.29,8.3,3263090,1
2017-12-04,8.31,8.53,8.31,8.37,2860030,1
2017-12-05,8.41,8.46,8.21,8.28,3035500,1
2017-12-06,8.28,8.29,8.09,8.17,1964010,1
2017-12-07,8.17,8.19,7.99,7.99,1743680,1
2017-12-08,7.99,8.07,7.95,7.97,1251580,1
2017-12-11,7.87,7.96,7.78,7.78,1320400,1
2017-12-12,7.83,7.97,7.26,7.81,2982180,1
2017-12-13,7.81,7.82,7.64,7.64,1148350,1
2017-12-14,7.66,7.79,7.66,7.75,714430,1
2017-12-15,7.75,7.84,7.7,7.7,738630,1
2017-12-18,7.77,7.93,7.75,7.87,1219150,1
2017-12-19,7.96,7.96,7.77,7.91,1250790,1
2017-12-20,7.91,8.17,7.91,8.14,1292990,1
2017-12-21,8.15,8.25,8.14,8.16,1587340,1
2017-12-22,8.13,8.15,8.04,8.15,863870,1
2017-12-25,8.15,8.15,8.03,8.05,885840,1
2017-12-26,8.07,8.09,8.01,8.03,702040,1
2017-12-27,8.07,8.13,8.05,8.05,1096400,1
2017-12-28,8.11,8.23,8.11,8.17,1336360,1
2017-12-29,8.23,8.33,8.19,8.27,2133440,1
2018-01-02,8.28,8.84,8.28,8.73,6973030,1
2018-01-03,8.85,8.96,8.71,8.74,2393590,1
2018-01-04,8.75,9.08,8.74,9.06,3127720,1
2018-01-05,9.06,9.06,8.77,8.96,2611280,1
2018-01-08,8.96,9.38,8.87,9.37,2758530,1
2018-01-09,9.48,9.67,9.08,9.66,4813410,1
2018-01-10,9.69,9.79,9.56,9.68,4193390,1
2018-01-11,9.55,9.83,9.53,9.83,2838750,1
2018-01-12,9.88,9.88,9.44,9.5,6034390,1
2018-01-15,9.52,9.76,9.46,9.68,2849090,1
2018-01-16,9.64,9.67,9.4,9.58,4223700,1
2018-01-17,9.61,9.74,9.45,9.48,2524920,1
2018-01-18,9.44,9.68,9.38,9.68,3113930,1
2018-01-19,9.68,10.1,9.68,9.72,8250800,1
2018-01-22,9.72,10.0,9.72,9.93,3111950,1
2018-01-25,10.08,10.61,10.0,10.57,11483030,1
2018-01-26,10.59,10.77,10.45,10.49,5418010,1
2018-01-29,10.61,10.89,10.47,10.51,5001720,1
2018-01-30,10.41,10.67,10.25,10.67,5259520,1
2018-01-31,10.69,10.91,10.67,10.75,3541550,1
2018-02-01,10.79,10.79,10.45,10.53,2796590,1
2018-02-02,10.55,10.93,10.45,10.93,2864340,1
2018-02-05,10.81,10.91,10.25,10.39,4065630,1
2018-02-06,9.66,10.39,9.66,9.96,8073980,1
2018-02-07,10.49,10.65,10.37,10.57,5853500,1
2018-02-08,10.51,10.61,10.39,10.49,2316740,1
2018-02-09,9.88,10.67,9.88,10.59,3999330,1
2018-02-12,10.75,11.13,10.69,11.13,6359690,1
2018-02-13,11.48,11.48,11.19,11.4,2396320,1
2018-02-21,11.6,11.92,11.54,11.78,3471230,1
2018-02-22,11.7,11.84,11.4,11.52,4165830,1
2018-02-23,11.58,11.8,11.46,11.8,3038950,1
2018-02-26,11.9,11.96,11.66,11.68,4344350,1
2018-02-27,11.78,11.94,11.66,11.88,3264320,1
2018-02-28,11.88,12.18,11.78,12.02,3332900,1
2018-03-01,11.9,12.08,11.82,11.94,2350810,1
2018-03-02,11.8,12.51,11.76,12.48,5712090,1
2018-03-05,12.61,12.73,11.8,11.8,3519210,1
2018-03-06,12.12,12.46,11.96,12.46,4033390,1
2018-03-07,12.79,12.81,12.28,12.51,5083980,1
2018-03-08,12.61,13.13,12.51,13.13,5430240,1
2018-03-09,13.31,13.31,12.71,12.89,8620060,1
2018-03-12,12.89,12.91,12.46,12.69,7522580,1
2018-03-13,12.67,12.95,12.42,12.95,4148500,1
2018-03-14,13.01,13.13,12.81,13.01,2886240,1
2018-03-15,12.89,13.01,12.75,12.87,2941630,1
2018-03-16,12.89,13.09,12.71,12.97,4345170,1
2018-03-19,13.09,13.17,12.77,12.79,3301910,1
2018-03-20,12.85,13.37,12.83,13.19,6771930,1
2018-03-21,13.31,13.41,13.07,13.11,2369060,1
2018-03-22,13.15,13.31,12.93,13.15,3224470,1
2018-03-23,12.75,13.01,12.73,12.85,4098250,1
2018-03-26,12.77,13.09,12.77,12.97,2977790,1
2018-03-27,13.11,13.31,13.03,13.09,3533080,1
2018-03-28,12.93,13.13,12.93,13.09,1854780,1
2018-03-29,13.09,13.29,13.09,13.15,3422420,1
2018-03-30,13.15,13.19,12.99,13.01,2056050,1
2018-04-02,13.01,13.78,12.97,13.72,9876900,1
2018-04-03,13.72,13.9,13.65,13.78,3048890,1
2018-04-04,13.82,13.92,13.67,13.74,2027300,1
2018-04-05,13.76,13.76,13.47,13.61,3758200,1
2018-04-06,13.63,13.8,13.57,13.74,3503680,1
2018-04-09,13.72,14.06,13.67,13.98,3604100,1
2018-04-10,14.02,14.12,13.63,13.78,3293590,1
2018-04-11,13.78,13.86,13.21,13.33,4707690,1
2018-04-12,13.31,13.41,13.13,13.39,2562940,1
2018-04-13,13.47,13.51,12.93,12.93,3338190,1
2018-04-16,12.93,13.17,12.69,12.89,3097620,1
2018-04-17,12.95,13.13,12.87,13.13,1811450,1
2018-04-18,13.23,13.23,12.87,12.87,1759730,1
2018-04-19,12.83,12.85,12.26,12.26,3691140,1
2018-04-20,12.26,12.36,11.9,12.34,3532830,1
2018-04-23,12.46,12.46,11.5,11.5,9490180,1
2018-04-24,11.09,11.68,10.81,11.5,3846780,1
2018-04-26,11.46,11.52,10.71,10.71,3415920,1
2018-04-27,10.41,11.07,10.02,10.79,4397700,1
2018-05-02,10.79,11.05,10.23,10.35,2956000,1
2018-05-03,10.19,10.49,9.8,10.43,3797020,1
2018-05-04,10.59,10.79,10.47,10.57,2703750,1
2018-05-07,10.69,11.27,10.63,11.27,1886800,1
2018-05-08,11.23,11.29,10.99,10.99,2499960,1
2018-05-09,10.91,11.13,10.71,10.71,1573720,1
2018-05-10,10.71,10.83,10.08,10.08,2582650,1
2018-05-11,10.0,10.49,9.86,10.43,2736580,1
2018-05-14,10.55,10.55,9.7,10.06,8485080,1
2018-05-15,10.08,10.29,9.88,10.13,3185030,1
2018-05-16,10.04,10.15,9.74,9.74,2225270,1
2018-05-17,9.74,9.74,9.09,9.24,5122380,1
2018-05-18,9.38,9.68,9.08,9.39,2496340,1
2018-05-21,9.54,9.7,9.38,9.48,1969320,1
2018-05-22,9.48,9.48,8.87,9.08,2653000,1
2018-05-23,9.08,9.18,8.71,9.1,2602270,1
2018-05-24,9.18,9.18,8.8,8.89,1839710,1
2018-05-25,8.87,8.91,8.37,8.41,2905170,1
2018-05-28,8.27,8.31,7.83,7.83,2699850,1
2018-05-29,7.68,8.37,7.5,8.37,7706980,1
2018-05-30,8.47,8.96,8.37,8.71,4842490,1
2018-05-31,8.63,9.12,8.61,9.08,2336730,1
2018-06-01,8.98,9.42,8.89,9.28,3775220,1
2018-06-04,9.36,9.92,9.36,9.92,3890390,1
2018-06-05,10.21,10.43,9.88,9.96,4577940,1
2018-06-06,9.96,10.06,9.78,9.97,2043840,1
2018-06-07,10.0,10.0,9.77,9.98,2097860,1
2018-06-08,9.88,10.45,9.88,10.45,4085220,1
2018-06-11,10.47,10.99,10.39,10.73,2938320,1
