,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
ACB,0.069147855,0.04292791,0.030696314,0.046102382,0.03929303,0.027306825,0.029066307,0.040278595,0.034310218,0.027046835,0.050792333,0.023141788,0.034945264,0.011758732,0.01667937,0.031300947,0.033757053,0.029597783,0.0150772575,0.04031457,0.04285795,0.04668052,0.037202787,0.03434294,0.028981626,0.021512251,0.018753069,0.025574522,0.04230288,0.028250089
BID,0.044053752,0.07096135,0.03421881,0.049547266,0.035873696,0.030407324,0.026701426,0.037813783,0.033596005,0.026878523,0.046843383,0.024422275,0.033781424,0.009484322,0.017296646,0.033082135,0.032601207,0.032532874,0.01930271,0.03979336,0.041544214,0.042602677,0.032975364,0.035936374,0.028860437,0.02178372,0.018331446,0.027935797,0.038766544,0.032071147
BVH,0.03538757,0.038440254,0.07971557,0.037102383,0.03729216,0.032235004,0.036127724,0.030243088,0.033030175,0.029767757,0.04049849,0.02752884,0.035356667,0.012739087,0.018405,0.03570731,0.035339713,0.037415817,0.021635665,0.03815671,0.033898257,0.036557674,0.02996151,0.028833063,0.030743722,0.02645886,0.020926638,0.03311569,0.0344421,0.0329375
CTG,0.045545813,0.047698162,0.031795263,0.06831307,0.03723482,0.028895104,0.02741922,0.039325662,0.03523294,0.027140813,0.050140895,0.025052357,0.033077963,0.01054109,0.015804728,0.032321677,0.03201328,0.028719565,0.017473524,0.041645084,0.043195926,0.04495553,0.036364496,0.035970468,0.027308995,0.023223018,0.016227514,0.023504654,0.042283867,0.031574503
FPT,0.040531978,0.03605913,0.033368394,0.038878225,0.071328156,0.03456045,0.029755667,0.03491804,0.035470337,0.030078718,0.042713176,0.027813476,0.04256768,0.01318812,0.018557584,0.034109082,0.03913821,0.032216445,0.01947254,0.037485853,0.03609096,0.039504513,0.03415304,0.029082995,0.029745774,0.021778837,0.020273035,0.029811304,0.03778461,0.029563673
GAS,0.033481102,0.03632985,0.03428403,0.03586144,0.04107955,0.084782705,0.030317709,0.030186472,0.034137815,0.025585396,0.03637328,0.03456111,0.03818467,0.011525115,0.013676666,0.048635654,0.03848696,0.03984682,0.02341626,0.035022095,0.032099634,0.034693915,0.026962725,0.03125082,0.030157194,0.02300789,0.021154115,0.029294932,0.0328042,0.03279988
GVR,0.03616762,0.032375865,0.03899476,0.03453505,0.03589364,0.030767903,0.08604166,0.03074543,0.035021488,0.036469717,0.040737405,0.027005684,0.034128122,0.017638195,0.025752572,0.035940558,0.030894458,0.040927313,0.016822655,0.044876732,0.035931036,0.038576562,0.03480688,0.020877734,0.02744513,0.021519095,0.017492207,0.022449061,0.035976868,0.0331886
HDB,0.044073448,0.040318996,0.028705452,0.043556567,0.037039943,0.026939312,0.027036669,0.07566263,0.03357931,0.02681843,0.049202822,0.023881014,0.034769256,0.014996094,0.018318977,0.03028663,0.030658761,0.029046226,0.016280362,0.039545555,0.04372605,0.048136517,0.040482435,0.03264447,0.026552653,0.021672202,0.020513818,0.023702798,0.040860187,0.030992428
HPG,0.03755899,0.035837274,0.031364392,0.039040394,0.03764207,0.030478781,0.030810231,0.033593826,0.07569534,0.03416094,0.043032248,0.029777922,0.036287773,0.018926367,0.024249075,0.0329613,0.031134143,0.031700797,0.016278422,0.04455207,0.037422616,0.039817862,0.03397873,0.029287428,0.030711701,0.023998689,0.017688058,0.02396004,0.037159454,0.03089305
KDH,0.03289515,0.031855006,0.03140488,0.033412825,0.03546439,0.025379267,0.035646573,0.02980891,0.037953764,0.08409965,0.037681613,0.030421002,0.038215097,0.022158574,0.031218803,0.03293215,0.02965698,0.034462,0.01640577,0.039801564,0.034235362,0.037684847,0.030993,0.027983898,0.036299746,0.029101446,0.019820413,0.026065823,0.031841956,0.035099532
MBB,0.046558954,0.04184178,0.03220175,0.046523463,0.03795637,0.027193116,0.03001016,0.041218515,0.036033683,0.028400049,0.0633846,0.023931967,0.035632234,0.013654319,0.018000826,0.03244232,0.031277988,0.029455647,0.014961796,0.04158322,0.044317324,0.048965562,0.03892561,0.0327584,0.027697042,0.020551965,0.015828086,0.024500951,0.04232782,0.031864487
MSN,0.030285556,0.031144515,0.031250864,0.03318655,0.035286747,0.03688907,0.028402967,0.028562004,0.03559939,0.032733817,0.0341674,0.090493485,0.039431162,0.017351815,0.020202247,0.03219847,0.0357109,0.032582507,0.024003008,0.036736432,0.033812433,0.036656868,0.02858408,0.030956544,0.03573614,0.027754707,0.022532094,0.027920943,0.033485863,0.03634141
MWG,0.03709397,0.034942165,0.032555312,0.03554092,0.043803897,0.033057917,0.029113697,0.033729326,0.035187215,0.03335297,0.04126226,0.031982765,0.0733996,0.018805228,0.023875339,0.033606824,0.041626252,0.031402897,0.021030806,0.037570387,0.035032462,0.041667018,0.029638456,0.028017912,0.030489808,0.022143364,0.0200158,0.025010804,0.036170084,0.028874539
NVL,0.025006063,0.019653866,0.023499506,0.022690563,0.027188515,0.019989485,0.03014456,0.029144749,0.036767293,0.038744606,0.031677425,0.028196238,0.037674583,0.14704952,0.07039888,0.027159434,0.025285201,0.026569601,0.018988447,0.03183885,0.02612675,0.033135533,0.028777113,0.027167331,0.03765025,0.02942657,0.020048382,0.019428985,0.03092822,0.029643489
PDR,0.028453803,0.028752752,0.02723529,0.027291197,0.030690208,0.01902884,0.03530622,0.028560065,0.037789,0.043788638,0.03350025,0.026334297,0.0383703,0.05647309,0.11796125,0.029278545,0.025873011,0.026511563,0.013196323,0.039576445,0.028566819,0.036033876,0.031420447,0.023099221,0.03364544,0.025228156,0.020839224,0.024218637,0.033376034,0.029601058
PLX,0.035286676,0.036341563,0.034917723,0.036882643,0.037277006,0.0447177,0.032561768,0.03120337,0.033944324,0.030525157,0.039898824,0.027736388,0.035691574,0.014397566,0.019348267,0.07795285,0.03676957,0.038296856,0.018128207,0.03809054,0.032045662,0.038144074,0.027087618,0.02874285,0.027913967,0.023830727,0.023200676,0.030121906,0.035470344,0.03347362
PNJ,0.038536772,0.03626614,0.034995273,0.036992684,0.04331412,0.03583405,0.028344011,0.031986207,0.03246813,0.027836991,0.03895333,0.031151075,0.04476753,0.013573516,0.017313989,0.03723455,0.07893862,0.030348899,0.020953596,0.033415075,0.0314693,0.036099765,0.030498872,0.030268395,0.030860312,0.02453372,0.024369372,0.031147413,0.03718191,0.030346388
POW,0.034656744,0.037119992,0.038003128,0.034039356,0.036569912,0.03805342,0.03851339,0.031082477,0.033908483,0.033178262,0.037626352,0.02915241,0.03464043,0.014629475,0.018197145,0.03977759,0.03112868,0.08096686,0.018506711,0.0425097,0.035187054,0.035676822,0.03078999,0.026081327,0.030765874,0.021724457,0.019760381,0.025654955,0.0346795,0.037419118
SAB,0.027663125,0.034510717,0.034433775,0.032451462,0.03463532,0.0350403,0.024805235,0.02729859,0.027283538,0.024749134,0.029947292,0.033651616,0.036351286,0.016382623,0.014192901,0.029503971,0.03367647,0.028998766,0.1268696,0.027210072,0.02806352,0.030505804,0.023511995,0.03365816,0.03447889,0.028400932,0.03138814,0.03845715,0.03453379,0.037345815
SSI,0.039662838,0.038149532,0.032563284,0.041472517,0.03575254,0.028101876,0.035482395,0.035556313,0.04004047,0.03219633,0.044630814,0.02761723,0.034821898,0.014729711,0.022824321,0.033241883,0.028797407,0.035717513,0.01459058,0.06803,0.041982424,0.041666508,0.036822993,0.026479071,0.030690555,0.023153111,0.018291984,0.025717175,0.03795758,0.03325915
STB,0.044393163,0.04193263,0.030457735,0.04529001,0.03624106,0.027117912,0.029910548,0.041392554,0.0354102,0.029157091,0.050078712,0.026762245,0.034185372,0.012725803,0.017345464,0.029444264,0.028553607,0.031127125,0.015843386,0.044200834,0.0716248,0.047367997,0.038953587,0.027446365,0.028168404,0.021135991,0.015580737,0.024472686,0.041797303,0.03188242
TCB,0.044344235,0.039436214,0.030124202,0.043227438,0.03638027,0.026879812,0.029450653,0.0417901,0.034553252,0.029434236,0.050744288,0.026608365,0.03728884,0.014801665,0.020065583,0.032142177,0.03003966,0.028944034,0.01579447,0.040231556,0.0434412,0.06568711,0.03831155,0.031504128,0.029379403,0.021033956,0.018546784,0.023830716,0.044190053,0.03179404
TPB,0.0428898,0.037044607,0.02996248,0.042435665,0.038170308,0.02535209,0.032248802,0.0426523,0.03578452,0.029378302,0.04895634,0.025180487,0.03218986,0.015600584,0.021233924,0.02770104,0.030800056,0.030315135,0.014773696,0.04314951,0.043355208,0.046495054,0.07971816,0.026896177,0.02765983,0.019424997,0.014888064,0.023209432,0.042649504,0.029884063
VCB,0.041687842,0.042507254,0.030359754,0.044197015,0.034223847,0.030938895,0.020366913,0.0362142,0.032476015,0.027929598,0.043380003,0.028713478,0.032040015,0.015507224,0.016436473,0.030949134,0.03218478,0.027037906,0.022268116,0.032670286,0.03216415,0.04025668,0.028319394,0.08393646,0.03428289,0.027310567,0.027102824,0.032611053,0.035256,0.036671236
VHM,0.034083936,0.033074,0.031363096,0.032509297,0.033913296,0.028926063,0.025939537,0.028538568,0.032994412,0.035100646,0.03553492,0.03211412,0.033780545,0.020821402,0.023194902,0.029120265,0.0317919,0.030900652,0.022100465,0.03668681,0.03198192,0.03637211,0.028216163,0.03321486,0.08132156,0.044963542,0.021615556,0.030907724,0.031158967,0.047758773
VIC,0.031464648,0.031047449,0.033569407,0.034381956,0.030880863,0.027446391,0.02529478,0.028969258,0.03206521,0.034997426,0.032793313,0.031019518,0.030511644,0.020239126,0.021630265,0.030918688,0.031433273,0.027136719,0.022640746,0.03442109,0.029845228,0.032385938,0.024644468,0.032907568,0.055920437,0.101138316,0.020442838,0.031655036,0.03066849,0.047529917
VJC,0.032831393,0.031273074,0.03177986,0.028757019,0.03440753,0.03020531,0.024611127,0.032821678,0.02828829,0.02853082,0.030230151,0.030142546,0.033012237,0.016504845,0.02138641,0.03603001,0.03737236,0.029544981,0.029950475,0.03255038,0.02633421,0.03418095,0.022608755,0.039089452,0.032177806,0.024469279,0.12105861,0.034756243,0.029630119,0.035464086
VNM,0.034457482,0.036677014,0.03870306,0.032055665,0.038938098,0.032191407,0.024307717,0.029185891,0.029489888,0.028875668,0.036012553,0.028745344,0.031745974,0.012309524,0.019127803,0.036000226,0.03676099,0.02952016,0.028240625,0.03521904,0.03183266,0.033799607,0.027124517,0.036196694,0.035409197,0.029159619,0.026748035,0.09316542,0.03348438,0.034515735
VPB,0.04335332,0.038713846,0.030618053,0.04386337,0.037539206,0.027419105,0.029630959,0.03826926,0.034788143,0.02683099,0.047323108,0.026222574,0.03492102,0.014904674,0.02005056,0.032245163,0.033378996,0.030352652,0.01928936,0.039539315,0.04135385,0.04767333,0.037912972,0.029765518,0.027152415,0.021488583,0.017344782,0.025469396,0.07086489,0.031720586
VRE,0.031727497,0.0350984,0.032087963,0.035894457,0.03218786,0.030044135,0.02995538,0.03181038,0.031694677,0.032411702,0.039040726,0.031187398,0.03055034,0.015655266,0.019487789,0.033347663,0.029854663,0.035890616,0.02286015,0.037966922,0.03456866,0.037588954,0.029112339,0.033928882,0.04560812,0.036496066,0.022750333,0.028771142,0.034762003,0.07765952
